region,Resource,zone,Cluster,R_ID,SubsidyRevenue
NENGREST,NENGREST_biomass_1,1,1,1,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,0.0
NENGREST,NENGREST_natural_gas_fired_combined_cycle_1,1,1,4,0.0
NENGREST,NENGREST_natural_gas_fired_combined_cycle_2,1,2,5,0.0
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_1,1,1,6,0.0
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_2,1,2,7,0.0
NENGREST,NENGREST_natural_gas_steam_turbine_1,1,1,8,0.0
NENGREST,NENGREST_nuclear_1,1,1,9,0.0
NENGREST,NENGREST_offshore_wind_turbine_1,1,1,10,0.0
NENGREST,NENGREST_onshore_wind_turbine_1,1,1,11,0.0
NENGREST,NENGREST_small_hydroelectric_1,1,1,12,0.0
NENGREST,NENGREST_solar_photovoltaic_1,1,1,13,0.0
NENG_CT,NENG_CT_biomass_1,2,1,14,0.0
NENG_CT,NENG_CT_conventional_hydroelectric_1,2,1,15,0.0
NENG_CT,NENG_CT_hydroelectric_pumped_storage_1,2,1,16,0.0
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_1,2,1,17,0.0
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_2,2,2,18,0.0
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_1,2,1,19,0.0
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_2,2,2,20,0.0
NENG_CT,NENG_CT_nuclear_1,2,1,21,0.0
NENG_CT,NENG_CT_onshore_wind_turbine_1,2,1,22,0.0
NENG_CT,NENG_CT_small_hydroelectric_1,2,1,23,0.0
NENG_CT,NENG_CT_solar_photovoltaic_1,2,1,24,0.0
NENG_ME,NENG_ME_biomass_1,3,1,25,0.0
NENG_ME,NENG_ME_conventional_hydroelectric_1,3,1,26,0.0
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_1,3,1,27,0.0
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_2,3,2,28,0.0
NENG_ME,NENG_ME_natural_gas_fired_combustion_turbine_1,3,1,29,0.0
NENG_ME,NENG_ME_onshore_wind_turbine_1,3,1,30,0.0
NENG_ME,NENG_ME_small_hydroelectric_1,3,1,31,0.0
NENG_ME,NENG_ME_solar_photovoltaic_1,3,1,32,0.0
NENGREST,NENGREST_naturalgas_ccccsavgcf_mid_0,1,0,33,0.0
NENGREST,NENGREST_naturalgas_ccavgcf_mid_0,1,0,34,0.0
NENGREST,NENGREST_naturalgas_ctavgcf_mid_0,1,0,35,0.0
NENGREST,NENGREST_battery_mid_0,1,0,36,0.0
NENGREST,NENGREST_naturalgas_ccs100_mid_0,1,0,37,0.0
NENGREST,NENGREST_landbasedwind_ltrg1_mid_130_1,1,1,38,0.0
NENGREST,NENGREST_utilitypv_losangeles_mid_80_0_2_1,1,1,39,0.0
NENGREST,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,1,1,40,0.0
NENG_CT,NENG_CT_naturalgas_ccccsavgcf_mid_0,2,0,41,0.0
NENG_CT,NENG_CT_naturalgas_ccavgcf_mid_0,2,0,42,0.0
NENG_CT,NENG_CT_naturalgas_ctavgcf_mid_0,2,0,43,0.0
NENG_CT,NENG_CT_battery_mid_0,2,0,44,0.0
NENG_CT,NENG_CT_naturalgas_ccs100_mid_0,2,0,45,0.0
NENG_CT,NENG_CT_landbasedwind_ltrg1_mid_110_1,2,1,46,0.0
NENG_CT,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,2,1,47,0.0
NENG_CT,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,2,1,48,0.0
NENG_ME,NENG_ME_naturalgas_ccccsavgcf_mid_0,3,0,49,0.0
NENG_ME,NENG_ME_naturalgas_ccavgcf_mid_0,3,0,50,0.0
NENG_ME,NENG_ME_naturalgas_ctavgcf_mid_0,3,0,51,0.0
NENG_ME,NENG_ME_battery_mid_0,3,0,52,0.0
NENG_ME,NENG_ME_naturalgas_ccs100_mid_0,3,0,53,0.0
NENG_ME,NENG_ME_landbasedwind_ltrg1_mid_110_1,3,1,54,0.0
NENG_ME,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,3,1,55,0.0
NENGREST,NENGREST_heat_load_shifting_1,1,1,56,0.0
NENG_CT,NENG_CT_heat_load_shifting_1,2,1,57,0.0
NENG_ME,NENG_ME_heat_load_shifting_1,3,1,58,0.0
